direction,amount_in,price_a_usd,price_b_usd
A_TO_B,20752762440.42188,3290.29,95411.4
A_TO_B,23865676806.48516,3291.1,95411.4
A_TO_B,2106418589.7531002,3291.27,95411.4
A_TO_B,27761491115.920902,3291.27,95411.4
A_TO_B,31925714783.309036,3290.98,95411.4
A_TO_B,1671342660.7153141,3290.74,95411.38
A_TO_B,36965273399.91269,3290.74,95411.38
A_TO_B,2319999282.985462,3291.22,95449.46
A_TO_B,42858064302.34741,3291.22,95449.46
A_TO_B,49286773947.699524,3290.47,95420.16
B_TO_A,8.818614466550908e-09,3290.66,95402.35
A_TO_B,56306047514.33105,3290.66,95402.35
A_TO_B,64751954641.480705,3291.87,95403.72
A_TO_B,4071848672.23468,3290.8,95390.34
A_TO_B,75075525138.53801,3290.8,95390.34
A_TO_B,86336853909.31871,3291.24,95390.34
B_TO_A,4.500743421163869e-09,3293.53,95419.14
A_TO_B,98701659835.99284,3293.53,95419.14
A_TO_B,1035627189.9076605,3292.25,95412.86
A_TO_B,113662252889.87791,3292.25,95412.86
A_TO_B,9487161165.1453,3292.48,95423.14
A_TO_B,132134664998.1314,3292.48,95423.14
A_TO_B,151954864747.8511,3291.09,95412.87
B_TO_A,3.443538779242714e-09,3291.13,95412.86
A_TO_B,173362736309.42465,3291.13,95412.86
A_TO_B,199367146755.83832,3292.56,95412.86
A_TO_B,229272218769.21408,3295.45,95462.04
A_TO_B,3250101077.3320246,3295.6,95441.85
A_TO_B,264150566746.19598,3295.6,95441.85
B_TO_A,3.052514592552987e-09,3294.94,95412.86
A_TO_B,300078017672.14386,3294.94,95412.86
A_TO_B,345089720322.96545,3292.32,95384.85
A_TO_B,396853178371.4103,3295.9,95479.93
B_TO_A,9.014777457811738e-10,3296.67,95485.74
A_TO_B,453901261870.8479,3296.67,95485.74
A_TO_B,521986451151.47504,3297.67,95536.14
B_TO_A,1.287033493130535e-09,3297.79,95567.89
A_TO_B,594188210015.3099,3297.79,95567.89
A_TO_B,683316441517.6064,3295.53,95554.67
B_TO_A,1.307613382878701e-09,3294.57,95552.06
A_TO_B,775235468739.2397,3294.57,95552.06
A_TO_B,63267750815.756,3295.13,95551.1
A_TO_B,901010951672.489,3295.13,95551.1
