direction,amount_in,price_a_usd,price_b_usd
A_TO_B,1000.0,1316.8,40657.99
A_TO_B,1000.0,1313.21,40547.67
A_TO_B,1000.0,1312.0,40510.31
A_TO_B,1000.0,1312.0,40510.31
A_TO_B,1000.0,1315.99,40537.62
A_TO_B,1000.0,1315.8,40576.16
A_TO_B,1000.0,1315.8,40576.16
A_TO_B,1000.0,1317.41,40593.98
A_TO_B,1000.0,1318.92,40596.69
A_TO_B,1000.0,1317.59,40538.52
A_TO_B,1000.0,1318.89,40522.99
B_TO_A,1000.0,1321.58,40578.8
A_TO_B,1000.0,1321.58,40578.8
A_TO_B,1000.0,1323.28,40626.17
A_TO_B,1000.0,1322.52,40585.0
A_TO_B,1000.0,1322.52,40585.0
A_TO_B,1000.0,1316.67,40483.93
A_TO_B,1000.0,1313.95,40449.35
A_TO_B,1000.0,1313.95,40449.35
B_TO_A,1000.0,1319.18,40610.04
A_TO_B,1000.0,1319.18,40610.04
A_TO_B,1000.0,1317.13,40550.0
A_TO_B,1000.0,1317.13,40550.0
A_TO_B,1000.0,1317.65,40562.42
A_TO_B,1000.0,1318.52,40630.8
A_TO_B,1000.0,1317.74,40602.19
A_TO_B,1000.0,1317.74,40602.19
A_TO_B,1000.0,1316.98,40603.86
B_TO_A,1000.0,1316.32,40561.47
A_TO_B,1000.0,1316.32,40561.47
A_TO_B,1000.0,1314.44,40459.83
A_TO_B,1000.0,1314.44,40459.83
B_TO_A,1000.0,1316.57,40500.25
A_TO_B,1000.0,1316.57,40500.25
A_TO_B,1000.0,1314.79,40466.63
A_TO_B,1000.0,1313.89,40424.55
B_TO_A,1000.0,1314.15,40443.63
A_TO_B,1000.0,1314.15,40443.63
A_TO_B,1000.0,1319.36,40545.8
A_TO_B,1000.0,1319.36,40545.8
A_TO_B,1000.0,1319.0,40507.57
A_TO_B,1000.0,1319.0,40507.57
A_TO_B,1000.0,1318.33,40482.0
A_TO_B,1000.0,1321.0,40552.49
A_TO_B,1000.0,1321.0,40552.49
A_TO_B,1000.0,1321.8,40554.39
A_TO_B,1000.0,1321.8,40554.39
A_TO_B,1000.0,1320.82,40545.67
B_TO_A,1000.0,1320.3,40555.51
A_TO_B,1000.0,1320.3,40555.51
A_TO_B,1000.0,1320.4,40579.52
A_TO_B,1000.0,1319.13,40550.8
A_TO_B,1000.0,1319.13,40550.8
A_TO_B,1000.0,1316.99,40518.41
A_TO_B,1000.0,1318.0,40518.42
B_TO_A,1000.0,1316.13,40442.19
A_TO_B,1000.0,1316.13,40442.19
A_TO_B,1000.0,1315.44,40461.69
A_TO_B,1000.0,1315.44,40461.69
B_TO_A,1000.0,1313.82,40410.0
A_TO_B,1000.0,1313.82,40410.0
B_TO_A,1000.0,1313.43,40380.49
A_TO_B,1000.0,1313.43,40380.49
A_TO_B,1000.0,1309.92,40300.01
A_TO_B,1000.0,1309.92,40300.01
A_TO_B,1000.0,1308.0,40290.28
A_TO_B,1000.0,1310.97,40316.64
A_TO_B,1000.0,1311.5,40367.37
A_TO_B,1000.0,1315.8,40412.0
A_TO_B,1000.0,1315.8,40412.0
B_TO_A,1000.0,1318.04,40460.18
A_TO_B,1000.0,1318.04,40460.18
A_TO_B,1000.0,1320.48,40505.84
